mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
2.000000000000000000e+00,2.023533636003000069e+00,2.011732405665823009e+00,8.700000000000000000e+01,7.618463849640448871e+01,1.239102789736265198e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.023533636003000069e+00,2.047344188017761635e+00,2.035404094751013027e+00,7.400000000000000000e+01,7.717029092670196633e+01,-3.608893358485227298e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.047344188017761635e+00,2.071434914464595600e+00,2.059354324293456440e+00,6.700000000000000000e+01,7.792883303534547679e+01,-1.238011573488846384e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.071434914464595600e+00,2.095809112105053273e+00,2.083586371828019868e+00,6.300000000000000000e+01,7.846665169405206086e+01,-1.746038215849530006e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.095809112105053273e+00,2.120470116493079260e+00,2.108103553455725976e+00,7.500000000000000000e+01,7.879202425004274346e+01,-4.271987536209618241e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.120470116493079260e+00,2.145421302431473443e+00,2.132909224297555362e+00,8.500000000000000000e+01,7.891482186710730673e+01,6.850054166887358242e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.145421302431473443e+00,2.170666084433725995e+00,2.158006778953585947e+00,8.600000000000000000e+01,7.884621515428140981e+01,8.056482145411197893e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.170666084433725995e+00,2.196207917191286274e+00,2.183399651967536048e+00,8.200000000000000000e+01,7.859838889481343926e+01,3.836876660591364008e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.196207917191286274e+00,2.222050296046329976e+00,2.209091318296776851e+00,5.400000000000000000e+01,7.818427140800427821e+01,-2.735100641513348307e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.222050296046329976e+00,2.248196757470086737e+00,2.235085293787868910e+00,6.200000000000000000e+01,7.761728282158478009e+01,-1.772663317146043083e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.248196757470086737e+00,2.274650879546800120e+00,2.261385135657700385e+00,7.600000000000000000e+01,7.691110534686849576e+01,-1.038900771639956339e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.274650879546800120e+00,2.301416282463379481e+00,2.287994442980282539e+00,9.100000000000000000e+01,7.607947756541435069e+01,1.710607095702631364e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.301416282463379481e+00,2.328496629004814800e+00,2.314916857179274867e+00,7.700000000000000000e+01,7.513601377586429919e+01,2.150396889110308685e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.328496629004814800e+00,2.355895625055421050e+00,2.342156062526308258e+00,8.300000000000000000e+01,7.409404862490656285e+01,1.034638551666676509e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.355895625055421050e+00,2.383617020105978757e+00,2.369715786645165245e+00,7.300000000000000000e+01,7.296650656078386987e+01,3.921010160240332235e-03,1.000000000000000000e+00,1.000000000000000000e+00
2.383617020105978757e+00,2.411664607766843993e+00,2.397599801021900845e+00,6.900000000000000000e+01,7.176579509878337149e+01,-3.264835110733713130e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.411664607766843993e+00,2.440042226287095772e+00,2.425811921520958592e+00,7.000000000000000000e+01,7.050372046815766680e+01,-5.999065181654242990e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.440042226287095772e+00,2.468753759079791443e+00,2.454356008907365272e+00,6.900000000000000000e+01,6.919142390788407226e+01,-2.301283077820378067e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.468753759079791443e+00,2.497803135253402473e+00,2.483235969375066521e+00,6.800000000000000000e+01,6.783933668132591777e+01,1.950634661720674831e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.497803135253402473e+00,2.527194330149505674e+00,2.512455755081481446e+00,6.300000000000000000e+01,6.645715177281175556e+01,-4.240797974790123659e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.527194330149505674e+00,2.556931365886798257e+00,2.542019364688347327e+00,6.000000000000000000e+01,6.505381019773278695e+01,-6.265886997200462716e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.556931365886798257e+00,2.587018311911515323e+00,2.571930843908924125e+00,5.200000000000000000e+01,6.363749988770985055e+01,-1.458824791451500680e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.587018311911515323e+00,2.617459285554326165e+00,2.602194286061644934e+00,5.600000000000000000e+01,6.221566519032085552e+01,-7.880209044932676710e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.617459285554326165e+00,2.648258452593780454e+00,2.632813832630275908e+00,6.700000000000000000e+01,6.079502513666874819e+01,7.958037939824014195e-01,1.000000000000000000e+00,1.000000000000000000e+00
