frozen_delta_chi2
7.935290072512302118e-01
6.792733381310369634e-01
1.201269538402356812e-01
1.019224459512064529e+00
1.677190861064637328e+00
2.590904182621774354e-01
1.043013544046371699e+00
5.234975172623817841e+00
1.411390141843151327e-02
1.604576811315190588e+00
8.252558412085670980e-01
3.391842046080433271e-01
4.611892784215241292e+00
1.642631195978719205e+00
1.610662962265617892e+00
9.138728009588298340e-01
1.479220622469938906e+00
1.920794312333789500e-01
1.020957723450599541e+00
1.466348263578224828e-02
1.858258510773125760e+00
3.072378630687330192e-01
1.188065562985538559e+00
8.405140891010883797e-01
3.178533694732284948e-02
1.134446807418898029e+00
4.033826877230593411e+00
1.331924781281142334e+00
6.144996187049561742e-01
4.663790542571543796e+00
1.767868381067588146e+00
8.161893881759769709e-01
5.142584346027794240e-01
5.141108762297237789e+00
1.768532556784869536e+00
5.651838072319733675e-01
1.801651950989700435e+00
1.273177200503739392e+00
5.680553393742791002e-01
5.466005823694168875e-01
1.037062002033073638e+00
1.436821758586503517e+00
5.122029215543213443e-01
1.161251059988972045e+00
1.852112658450582594e-01
2.005685076073036033e+00
6.717427617523694661e-01
8.273642475012428221e-01
6.450807594375739251e-01
1.506847892360471564e+00
1.497113442763953750e-01
2.448558191913477344e+00
4.123602588241765510e+00
6.049013895828168064e-01
1.622667820189639620e+00
7.516901803990113651e-01
2.751923850985123376e+00
6.858722827400841382e+00
3.678359446091689300e+00
7.476456660605682814e+00
5.114589112200579102e+00
1.561650757228507103e-01
1.526672654337309920e+00
2.978830571191769749e+00
7.634714127626014424e-01
2.533861521378311110e+00
5.140447225414217503e-01
7.208457016724632849e-02
4.158619943995364387e+00
3.381354285950401106e+00
3.915530767664339717e-01
7.847412396002031443e-01
2.102077073680687302e+00
7.508779464172142537e-02
5.960946636101882579e-01
4.235456955855471328e+00
9.997701617717132949e-01
3.307127948048863786e+00
4.628848615989154425e+00
8.380044370374692964e-01
8.322934410659417193e-01
9.696185522476415963e-01
7.075859919482878624e-01
2.322102876229375834e+00
7.637965178002098510e-02
6.755574617680362159e-01
1.479528741093225908e-01
1.682652664297919598e+00
2.068537592715268048e+00
1.039494082158618937e+00
6.322011682215306072e-01
1.841508004116931829e+00
3.236954168840360690e+00
6.093103722358343077e+00
7.232542887641719709e-01
4.419087081366170011e+00
1.146131063649621584e+00
8.238854274759789265e-01
1.588299530991920783e+00
2.389013365993094329e+00
1.115435729497556983e+00
3.564193503648546146e-01
3.765061376384725156e-01
2.397839105983211816e+00
6.340427880974065289e+00
7.028919370294890445e-01
1.356693267179345463e+00
4.858749751139848527e+00
1.464833537522432394e+00
2.638600909748619383e+00
1.527577088657708027e+00
4.546509602450727883e+00
7.926211062251302675e-01
2.025786243348121352e-01
1.747632736365410944e+00
4.601753767469958234e-01
5.344916277607500987e-01
1.648816514863729266e+00
2.595464999432889552e+00
9.438473457038276671e-02
6.447849474760177557e+00
1.122547458378895913e+00
5.060035572292268524e-01
2.392114395146478945e+00
1.036923017180668039e+00
9.653107986184353839e-01
1.341973054287171951e+00
1.315468967466796757e+00
2.004163450239967670e+00
1.095176300886713916e+00
3.936904377758743134e-01
1.306124142890801032e-01
4.119915167652646315e-01
2.106580578272613025e+00
1.448856935121369371e+00
3.520379547004466314e+00
3.618457156213282788e-01
1.406061456336949733e-01
5.808958914334199974e+00
3.029100500663355788e+00
8.560699987370528063e-01
7.748820581564640209e-02
1.285613299524810405e+00
4.602820638073317205e+00
6.567363405211401606e-01
1.589171721225655975e+00
7.518365062705489876e-02
2.214848414441157765e+00
2.344657559581912576e+00
7.034963639189157902e+00
3.704391292442394956e-01
8.110123888258984337e-01
3.432520858897177618e+00
2.264002656835711197e-02
1.666314885444457605e-01
5.228188667104256560e-01
1.319317204482384875e+00
5.987888010934028227e-01
3.166088204526330552e-01
2.094525783509003869e+00
1.885290375388297412e-01
1.384187965276586274e+00
4.358180067505330602e-01
1.100624677832288789e+00
4.590930418777204869e-01
9.621901891666208018e-01
3.053481212073144491e+00
1.361042091084250005e+00
1.250221549697109413e+00
4.223793069219091700e-01
1.040703256596682946e+00
1.301067646112381793e+00
5.124397330267240758e-01
1.134787631512135242e+00
1.727215570799038868e+00
1.222471798317672498e+00
1.001933204475614847e+00
1.482595465177197092e+00
1.565649751312599980e+00
2.867064970091749210e+00
5.475617866576923953e-01
2.936568355741505654e-01
6.723709389684027204e-01
2.628686269281352850e+00
5.453945965472468682e-01
4.667529385222033422e-01
4.472465289804775646e-01
5.647936529612630069e-02
1.226436950327602027e+00
3.734339072413076277e+00
2.259515016947405197e+00
2.932087408799016082e+00
2.124568635057941246e-01
2.334611397849299941e+00
4.884062391882811882e-01
3.710107355325744649e-01
