omega,delta_chi2
1.364584584584584626e+01,9.973114848317175429e+00
1.372282282282282395e+01,1.118261184437386646e+01
1.379979979979980165e+01,1.217662521112573160e+01
1.387677677677677757e+01,1.289136109786664086e+01
1.395375375375375526e+01,1.328110770305049826e+01
1.403073073073073118e+01,1.332952218837870006e+01
1.410770770770770888e+01,1.305934856302399893e+01
1.418468468468468657e+01,1.253734116134272369e+01
1.426166166166166249e+01,1.187163053389489953e+01
1.433863863863864019e+01,1.120037134632503673e+01
1.441561561561561611e+01,1.067289513364112175e+01
1.449259259259259380e+01,1.042691193732841271e+01
1.456956956956957150e+01,1.056662791191153694e+01
1.464654654654654742e+01,1.114645946020271516e+01
1.472352352352352511e+01,1.216349562224879755e+01
1.480050050050050103e+01,1.355964797839997971e+01
1.487747747747747873e+01,1.523225958952474279e+01
1.495445445445445642e+01,1.705031818918778797e+01
1.503143143143143234e+01,1.887257058256800590e+01
1.510840840840841004e+01,2.056385445184502458e+01
1.518538538538538596e+01,2.200683974029674417e+01
1.526236236236236365e+01,2.310792062352943077e+01
1.533933933933934135e+01,2.379779901131511721e+01
1.541631631631631727e+01,2.402878016211754897e+01
1.549329329329329497e+01,2.377147373420146437e+01
1.557027027027027088e+01,2.301328060987031776e+01
1.564724724724724858e+01,2.175993609462438272e+01
1.572422422422422628e+01,2.003991381981059305e+01
1.580120120120120220e+01,1.791017257293262332e+01
1.587817817817817989e+01,1.546095041801742553e+01
1.595515515515515581e+01,1.281728074965388586e+01
1.603213213213213351e+01,1.013559291537074358e+01
1.610910910910911298e+01,7.594918375657029763e+00
1.618608608608608890e+01,5.383472020979513495e+00
1.626306306306306482e+01,3.682344822439980181e+00
1.634004004004004074e+01,2.648504557078656507e+00
1.641701701701702021e+01,2.399249339707071549e+00
1.649399399399399613e+01,2.999865865197766990e+00
1.657097097097097205e+01,4.455742888845545480e+00
1.664794794794795152e+01,6.709747171998772686e+00
1.672492492492492744e+01,9.645314280451959377e+00
1.680190190190190336e+01,1.309534483690242013e+01
1.687887887887888283e+01,1.685648477704975079e+01
1.695585585585585875e+01,2.070762305454266894e+01
1.703283283283283467e+01,2.443053241450105872e+01
1.710980980980981059e+01,2.782976172536661608e+01
1.718678678678679006e+01,3.074853329190816353e+01
1.726376376376376598e+01,3.307783978782340739e+01
1.734074074074074190e+01,3.475728354590326319e+01
1.741771771771772137e+01,3.576822042429676429e+01
1.749469469469469729e+01,3.612190048241163254e+01
1.757167167167167321e+01,3.584682519642633736e+01
1.764864864864865268e+01,3.497985679786279434e+01
1.772562562562562860e+01,3.356445053462052641e+01
1.780260260260260452e+01,3.165694055844998189e+01
1.787957957957958399e+01,2.933876427515947682e+01
1.795655655655655991e+01,2.672982587432747081e+01
1.803353353353353583e+01,2.399684353203901210e+01
1.811051051051051175e+01,2.135111233726313174e+01
1.818748748748749122e+01,1.903265451671066089e+01
1.826446446446446714e+01,1.728158101281369241e+01
1.834144144144144306e+01,1.630156481292370074e+01
1.841841841841842253e+01,1.622341773337100079e+01
1.849539539539539845e+01,1.707786931643760298e+01
1.857237237237237437e+01,1.878524212053203613e+01
1.864934934934935384e+01,2.116593859808252631e+01
