omega,delta_chi2
7.025825825825826598e+00,1.290210088590197302e+02
7.102802802802804294e+00,1.392211076937297776e+02
7.179779779779780213e+00,1.473896017341309346e+02
7.256756756756757909e+00,1.529249432766807786e+02
7.333733733733733828e+00,1.553995104564243093e+02
7.410710710710711524e+00,1.546243361940776424e+02
7.487687687687689220e+00,1.506687101572262577e+02
7.564664664664665139e+00,1.438308896574345113e+02
7.641641641641642835e+00,1.345735502919341968e+02
7.718618618618618754e+00,1.234465942478177567e+02
7.795595595595596450e+00,1.110181404028115537e+02
7.872572572572574146e+00,9.782589142500734170e+01
7.949549549549550065e+00,8.435149481521811765e+01
8.026526526526527761e+00,7.101386311200074886e+01
8.103503503503503680e+00,5.817455709717798840e+01
8.180480480480481376e+00,4.614824732545082497e+01
8.257457457457459071e+00,3.521252315229860130e+01
8.334434434434434991e+00,2.561292614169307313e+01
8.411411411411412686e+00,1.756070652131190357e+01
8.488388388388388606e+00,1.122256721017397219e+01
8.565365365365366301e+00,6.703804778724970603e+00
8.642342342342343997e+00,4.028708142574910056e+00
8.719319319319319916e+00,3.124181758904504669e+00
8.796296296296297612e+00,3.813204693149072178e+00
8.873273273273273531e+00,5.822972984449496181e+00
8.950250250250251227e+00,8.808487167295750098e+00
9.027227227227228923e+00,1.238744158253226146e+01
9.104204204204204842e+00,1.617879005853950503e+01
9.181181181181182538e+00,1.983688258218448652e+01
9.258158158158158457e+00,2.307549776910796169e+01
9.335135135135136153e+00,2.567989971195536469e+01
9.412112112112113849e+00,2.750839656222139240e+01
9.489089089089089768e+00,2.848670450744000604e+01
9.566066066066067464e+00,2.859868783348465371e+01
9.643043043043043383e+00,2.787633938242811027e+01
9.720020020020021079e+00,2.639082500436735756e+01
9.796996996996998774e+00,2.424540328728305383e+01
9.873973973973974694e+00,2.157013590149607651e+01
9.950950950950952389e+00,1.851753054722604119e+01
1.002792792792792831e+01,1.525770828085174280e+01
1.010490490490490600e+01,1.197157770028568535e+01
1.018188188188188370e+01,8.841029981196015797e+00
1.025885885885885962e+01,6.036323841325532236e+00
1.033583583583583732e+01,3.702246829061745181e+00
1.041281281281281323e+01,1.945688782699597219e+00
1.048978978978979093e+01,8.273590852462803236e-01
1.056676676676676863e+01,3.593693758608479394e-01
1.064374374374374455e+01,5.087308725630638184e-01
1.072072072072072224e+01,1.205273678671510806e+00
1.079769769769769816e+01,2.351739503492205507e+00
1.087467467467467586e+01,3.833989619129822390e+00
1.095165165165165355e+01,5.530077916391365811e+00
1.102862862862862947e+01,7.317830321376179725e+00
1.110560560560560717e+01,9.081125913397944061e+00
1.118258258258258309e+01,1.071516440660124481e+01
1.125955955955956078e+01,1.213079065388942546e+01
1.133653653653653670e+01,1.325772606289556421e+01
1.141351351351351440e+01,1.404654539765539667e+01
1.149049049049049209e+01,1.446942861153900850e+01
1.156746746746746801e+01,1.451991803259178582e+01
1.164444444444444571e+01,1.421192567206912827e+01
1.172142142142142163e+01,1.357803758012545359e+01
1.179839839839839932e+01,1.266691824765731589e+01
1.187537537537537702e+01,1.153955628011379275e+01
1.195235235235235294e+01,1.026432838360721078e+01
1.202932932932933063e+01,8.911300573858197183e+00
1.210630630630630655e+01,7.546586618988726514e+00
1.218328328328328425e+01,6.227705382537884304e+00
1.226026026026026194e+01,5.000646739958192200e+00
1.233723723723723786e+01,3.898893886506027417e+00
1.241421421421421556e+01,2.944178271456987961e+00
1.249119119119119148e+01,2.148436935741711018e+00
1.256816816816816917e+01,1.516353709676284467e+00
1.264514514514514687e+01,1.047943311943514644e+00
1.272212212212212279e+01,7.407886508828160910e-01
1.279909909909910048e+01,5.916917557838363706e-01
1.287607607607607640e+01,5.976141395591378913e-01
1.295305305305305410e+01,7.558657657148408759e-01
1.303003003003003180e+01,1.063575014634513538e+00
1.310700700700700772e+01,1.516558242034725446e+00
1.318398398398398541e+01,2.107816700705194002e+00
1.326096096096096133e+01,2.826007286702517440e+00
1.333793793793793903e+01,3.654321921648282512e+00
1.341491491491491672e+01,4.570213745363446378e+00
1.349189189189189264e+01,5.546285842097830709e+00
1.356886886886887034e+01,6.552415790040499566e+00
1.364584584584584626e+01,7.558890209273366523e+00
1.372282282282282395e+01,8.540059969230545889e+00
1.379979979979980165e+01,9.477868027604190004e+00
1.387677677677677757e+01,1.036456115558116231e+01
1.395375375375375526e+01,1.120394706137009244e+01
1.403073073073073118e+01,1.201068210413599857e+01
1.410770770770770888e+01,1.280729750547002155e+01
1.418468468468468657e+01,1.361904072125973997e+01
1.426166166166166249e+01,1.446712212129996367e+01
1.433863863863864019e+01,1.536150455018631078e+01
1.441561561561561611e+01,1.629474833584774274e+01
