mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
2.000000000000000000e+00,2.023533636003000069e+00,2.011732405665823009e+00,9.500000000000000000e+01,9.166195654363353640e+01,3.486562258619695376e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.023533636003000069e+00,2.047344188017761635e+00,2.035404094751013027e+00,8.800000000000000000e+01,9.230021803266815539e+01,-4.475990051511831158e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.047344188017761635e+00,2.071434914464595600e+00,2.059354324293456440e+00,8.700000000000000000e+01,9.274610659313418637e+01,-5.966585034005503774e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.071434914464595600e+00,2.095809112105053273e+00,2.083586371828019868e+00,7.300000000000000000e+01,9.300534228614345977e+01,-2.074397778795797453e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.095809112105053273e+00,2.120470116493079260e+00,2.108103553455725976e+00,9.100000000000000000e+01,9.308468823940107484e+01,-2.160737414617808771e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.120470116493079260e+00,2.145421302431473443e+00,2.132909224297555362e+00,8.100000000000000000e+01,9.299180275673640494e+01,-1.243546824956042851e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.145421302431473443e+00,2.170666084433725995e+00,2.158006778953585947e+00,9.100000000000000000e+01,9.273509285010760550e+01,-1.801775447663734875e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.170666084433725995e+00,2.196207917191286274e+00,2.183399651967536048e+00,1.100000000000000000e+02,9.232357149631894799e+01,1.839662783634538945e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.196207917191286274e+00,2.222050296046329976e+00,2.209091318296776851e+00,1.020000000000000000e+02,9.176672056608533978e+01,1.068248341979444627e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.222050296046329976e+00,2.248196757470086737e+00,2.235085293787868910e+00,9.100000000000000000e+01,9.107436102063138605e+01,-7.791970067178152423e-03,1.000000000000000000e+00,1.000000000000000000e+00
2.248196757470086737e+00,2.274650879546800120e+00,2.261385135657700385e+00,8.100000000000000000e+01,9.025653162995834577e+01,-9.743364935120156778e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.274650879546800120e+00,2.301416282463379481e+00,2.287994442980282539e+00,7.900000000000000000e+01,8.932337714464871681e+01,-1.092293191139849240e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.301416282463379481e+00,2.328496629004814800e+00,2.314916857179274867e+00,8.200000000000000000e+01,8.828504655520093536e+01,-6.689057416494982311e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.328496629004814800e+00,2.355895625055421050e+00,2.342156062526308258e+00,1.010000000000000000e+02,8.715160180335195150e+01,1.483412232363748640e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.355895625055421050e+00,2.383617020105978757e+00,2.369715786645165245e+00,7.700000000000000000e+01,8.593293707110933610e+01,-9.636391741416718837e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.383617020105978757e+00,2.411664607766843993e+00,2.397599801021900845e+00,8.200000000000000000e+01,8.463870856642802210e+01,-2.868183366642105270e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.411664607766843993e+00,2.440042226287095772e+00,2.425811921520958592e+00,8.000000000000000000e+01,8.327827454968299037e+01,-3.592356781969001656e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.440042226287095772e+00,2.468753759079791443e+00,2.454356008907365272e+00,7.800000000000000000e+01,8.186064520144198298e+01,-4.266996725204121321e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.468753759079791443e+00,2.497803135253402473e+00,2.483235969375066521e+00,8.500000000000000000e+01,8.039444181796881139e+01,5.136523282574725346e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.497803135253402473e+00,2.527194330149505674e+00,2.512455755081481446e+00,7.700000000000000000e+01,7.888786473428241663e+01,-2.125522826227974060e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.527194330149505674e+00,2.556931365886798257e+00,2.542019364688347327e+00,6.000000000000000000e+01,7.734866931299133341e+01,-1.972603255870995165e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.556931365886798257e+00,2.587018311911515323e+00,2.571930843908924125e+00,9.000000000000000000e+01,7.578414929781808951e+01,1.632990521121757022e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.587018311911515323e+00,2.617459285554326165e+00,2.602194286061644934e+00,8.500000000000000000e+01,7.420112681092948037e+01,1.253641011176138909e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.617459285554326165e+00,2.648258452593780454e+00,2.632813832630275908e+00,8.300000000000000000e+01,7.260594827008938523e+01,1.219828491579608043e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.648258452593780454e+00,2.679420027826386441e+00,2.663793673830668673e+00,7.200000000000000000e+01,7.100448551253350615e+01,1.181421015916280098e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.679420027826386441e+00,2.710948275643393579e+00,2.695138049184181650e+00,6.700000000000000000e+01,6.940214143474638320e+01,-2.883448100922579305e-01,1.000000000000000000e+00,1.000000000000000000e+00
