max_delta_chi2
3.002215453635619724e+01
2.331570015218946423e+01
2.766059524447431173e+01
2.926764567051727894e+01
2.788448043302792811e+01
2.586810848795753870e+01
4.094423298629310182e+01
3.692957376341112763e+01
2.988284598699064887e+01
3.874756593109467673e+01
3.097724289520759555e+01
3.648031539030596804e+01
3.006987768705653963e+01
3.857116162088465217e+01
3.260707671187375922e+01
2.920346009339536764e+01
2.872369357750252661e+01
2.458065209827459796e+01
1.976042900321443696e+01
2.529303252713768657e+01
2.417638310413936864e+01
2.316802230754763414e+01
2.619187737094939905e+01
3.584862022749604193e+01
3.309992984737961308e+01
3.854404512823349194e+01
2.861301543915265810e+01
2.574588776179289340e+01
2.702122533333540844e+01
2.601688375506792994e+01
3.556615094931294863e+01
3.197395698209648174e+01
2.748560195055921440e+01
3.387183649104712657e+01
2.953534379132248944e+01
2.358785938918154912e+01
2.445749772018460177e+01
2.226741641774214031e+01
2.175684212527218619e+01
2.261635594550684658e+01
3.495438325118404066e+01
3.168973229031714567e+01
4.593830688526549721e+01
3.928598413080495533e+01
2.753831647767276181e+01
2.417470206775069030e+01
3.657209804511374074e+01
2.920927750162408643e+01
2.195851193099254317e+01
2.450897202204474823e+01
3.487632242645807423e+01
4.200502580924272422e+01
2.502150258752942591e+01
3.391397935262963870e+01
2.660032781717808703e+01
2.950286786727176747e+01
2.877187242434762027e+01
2.546941781857441356e+01
3.622495271364154235e+01
3.328341552938205439e+01
3.742237981321489571e+01
1.896220187118792566e+01
3.291765914711772467e+01
2.027199103169051853e+01
4.423009714807729864e+01
2.483052630371012981e+01
2.178864662697262133e+01
3.604975253137312308e+01
3.805618867549416251e+01
2.256646863964461858e+01
4.065499227166979779e+01
3.311267854608425409e+01
2.668124972296776676e+01
2.151905501141163768e+01
3.206554024228247357e+01
3.203067786238680270e+01
3.055181804103334642e+01
3.059751638760681303e+01
2.996496168465876409e+01
2.614016363387976938e+01
3.352551231551852595e+01
4.524939133773919053e+01
2.887164971154426851e+01
2.308602769621742468e+01
4.013458971881247805e+01
2.416598709832493697e+01
3.858885239491648633e+01
3.811385575937075743e+01
4.079273808249288180e+01
2.233330978246253551e+01
3.428048624485123241e+01
3.173434091173129090e+01
3.489731968067795265e+01
3.092156926278048701e+01
3.679923315286675489e+01
2.939248489899197025e+01
2.682943890974183532e+01
2.839050794797982036e+01
2.856304743077478037e+01
2.976133210415786934e+01
1.651803662462335609e+01
2.582017146182393219e+01
4.463703643982699276e+01
4.227357108195730007e+01
2.792150961063332204e+01
2.467501262563089881e+01
2.561753300127172395e+01
3.294146164719724368e+01
2.529112158467538407e+01
2.843723973133964833e+01
3.623655937031433893e+01
3.090840285807699317e+01
1.657135901185463922e+01
3.308699738806497237e+01
2.696696526046358855e+01
3.456635424123481926e+01
2.585243545546617128e+01
2.972239624096402721e+01
3.078380952371639268e+01
2.684229350370611300e+01
4.021991827944214037e+01
3.525602089722366372e+01
2.733904012423604968e+01
4.357335473888088018e+01
2.612980667125208001e+01
