mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
3.589645842758575789e+00,3.631884552080157480e+00,3.610703433370515469e+00,2.200000000000000000e+01,1.929277059480780920e+01,6.163505082567999338e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.631884552080157480e+00,3.674620276606944458e+00,3.653189923528378014e+00,5.000000000000000000e+01,1.899281122420972778e+01,7.114883077158628666e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.674620276606944458e+00,3.717858864626400806e+00,3.696176344483450560e+00,3.500000000000000000e+01,1.870870358047733362e+01,3.766463808185395390e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.717858864626400806e+00,3.761606233241723718e+00,3.739668578830437795e+00,2.700000000000000000e+01,1.844011672927818424e+01,1.993361240202396800e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.761606233241723718e+00,3.805868369181587330e+00,3.783672578383464380e+00,1.400000000000000000e+01,1.818671620800127187e+01,-9.817397569570393001e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.805868369181587330e+00,3.850651329619413143e+00,3.828194364990569198e+00,9.000000000000000000e+00,1.794816671754718485e+01,-2.112146410893835036e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.850651329619413143e+00,3.895961243002279417e+00,3.873240031357781277e+00,1.200000000000000000e+01,1.772413445212313832e+01,-1.359650567420935818e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.895961243002279417e+00,3.941804309889585411e+00,3.918815741882893278e+00,8.000000000000000000e+00,1.751428910178628584e+01,-2.273422148329825365e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.941804309889585411e+00,3.988186803801585079e+00,3.964927733499043150e+00,1.600000000000000000e+01,1.731830556012883449e+01,-3.167841068568841290e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.988186803801585079e+00,4.035115072077902987e+00,4.011582316528226499e+00,1.400000000000000000e+01,1.713586536714461417e+01,-7.575379390465255547e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.035115072077902987e+00,4.082595536746153719e+00,4.058785875544851152e+00,8.000000000000000000e+00,1.696665791499653864e+01,-2.176869776033147907e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.082595536746153719e+00,4.130634695400781986e+00,4.106544870249446255e+00,1.400000000000000000e+01,1.681038144214860353e+01,-6.854511114561879781e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.130634695400781986e+00,4.179239122092245573e+00,4.154865836352665376e+00,1.800000000000000000e+01,1.666674383915406210e+01,3.265789729629854365e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.179239122092245573e+00,4.228415468226653928e+00,4.203755386469677724e+00,1.800000000000000000e+01,1.653546328732221582e+01,3.601571817178034207e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.228415468226653928e+00,4.278170463476005381e+00,4.253220211025093178e+00,1.700000000000000000e+01,1.641626874952708448e+01,1.440707170043626917e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.278170463476005381e+00,4.328510916699120692e+00,4.303267079168526799e+00,9.000000000000000000e+00,1.630890033058272337e+01,-1.809837990392977769e+00,1.000000000000000000e+00,1.000000000000000000e+00
