omega,delta_chi2
3.100000000000000089e+00,8.059974441334587070e+00
3.176976976976976896e+00,7.690483392228021131e+00
3.253953953953954148e+00,7.065036028306574067e+00
3.330930930930930955e+00,6.243521535331692185e+00
3.407907907907908207e+00,5.302135418263180355e+00
3.484884884884885015e+00,4.319220927109336472e+00
3.561861861861862266e+00,3.363899712250841390e+00
3.638838838838839074e+00,2.490878273848895930e+00
3.715815815815815881e+00,1.741509232822628261e+00
3.792792792792793133e+00,1.148558034057850286e+00
3.869769769769769940e+00,7.411468542247341418e-01
3.946746746746747192e+00,5.469378225064384091e-01
4.023723723723724000e+00,5.903394282067722099e-01
4.100700700700700807e+00,8.877236550009437455e-01
4.177677677677677615e+00,1.442276599047978447e+00
4.254654654654654422e+00,2.241168356414017904e+00
4.331631631631632118e+00,3.256257820454414365e+00
4.408608608608608925e+00,4.447791199135632922e+00
4.485585585585585733e+00,5.769776815542520865e+00
4.562562562562562540e+00,7.176056813790158806e+00
4.639539539539539348e+00,8.626670523449471162e+00
4.716516516516517044e+00,1.009399117132181622e+01
4.793493493493493851e+00,1.156717371938913530e+01
4.870470470470470659e+00,1.305254895896277390e+01
4.947447447447448354e+00,1.456804979102881425e+01
5.024424424424424274e+00,1.613199825347514249e+01
5.101401401401401969e+00,1.774934369674047474e+01
5.178378378378378777e+00,1.939980430188260740e+01
5.255355355355355584e+00,2.103178610445534247e+01
5.332332332332333280e+00,2.256461243293777841e+01
5.409309309309309199e+00,2.390062090256207483e+01
5.486286286286286895e+00,2.494763957352684969e+01
5.563263263263263703e+00,2.564968421156600087e+01
5.640240240240240510e+00,2.601878381299032839e+01
5.717217217217218206e+00,2.615594868785920823e+01
5.794194194194194125e+00,2.624930215065342409e+01
5.871171171171171821e+00,2.654533713346947010e+01
5.948148148148148628e+00,2.730146917253095040e+01
6.025125125125125436e+00,2.873590574496720507e+01
6.102102102102103132e+00,3.098915864434715672e+01
6.179079079079079051e+00,3.410355110494529640e+01
6.256056056056056747e+00,3.801998244260396120e+01
6.333033033033033554e+00,4.258871138656353139e+01
6.410010010010010362e+00,4.759136294528691025e+01
6.486986986986988057e+00,5.277119606227317661e+01
6.563963963963963977e+00,5.786635420950991460e+01
6.640940940940941672e+00,6.263815319080698174e+01
6.717917917917918480e+00,6.688673880043614872e+01
6.794894894894895288e+00,7.045112799810974025e+01
6.871871871871872983e+00,7.319760724212963510e+01
6.948848848848848903e+00,7.500565364903039267e+01
7.025825825825826598e+00,7.576117129878673495e+01
7.102802802802804294e+00,7.536287184348257995e+01
7.179779779779780213e+00,7.374110537364529705e+01
7.256756756756757909e+00,7.088217777164305744e+01
7.333733733733733828e+00,6.684791797177535955e+01
7.410710710710711524e+00,6.178169228179034178e+01
7.487687687687689220e+00,5.589767065114011757e+01
7.564664664664665139e+00,4.945696023226979321e+01
7.641641641641642835e+00,4.273858940172539178e+01
7.718618618618618754e+00,3.601343077437171303e+01
7.795595595595596450e+00,2.952594215614545448e+01
7.872572572572574146e+00,2.348454874011142124e+01
7.949549549549550065e+00,1.805865663574494917e+01
8.026526526526527761e+00,1.337936263858707164e+01
8.103503503503503680e+00,9.541420064128423917e+00
8.180480480480481376e+00,6.605011178290008722e+00
8.257457457457459071e+00,4.596657742050592077e+00
8.334434434434434991e+00,3.508997561765049067e+00
8.411411411411412686e+00,3.299437744470355760e+00
8.488388388388388606e+00,3.888212523370469409e+00
8.565365365365366301e+00,5.157172706294010922e+00
8.642342342342343997e+00,6.951343532621560684e+00
8.719319319319319916e+00,9.085322432124632641e+00
8.796296296296297612e+00,1.135554900680205037e+01
8.873273273273273531e+00,1.355752704845675893e+01
8.950250250250251227e+00,1.550501401720241468e+01
9.027227227227228923e+00,1.704708063114622618e+01
9.104204204204204842e+00,1.807943181612180084e+01
9.181181181181182538e+00,1.854824060199948832e+01
9.258158158158158457e+00,1.844702781646936174e+01
9.335135135135136153e+00,1.780879934512439533e+01
9.412112112112113849e+00,1.669621875994334204e+01
9.489089089089089768e+00,1.519216636012013488e+01
9.566066066066067464e+00,1.339208453582838665e+01
9.643043043043043383e+00,1.139849955599385467e+01
9.720020020020021079e+00,9.317321620397008175e+00
9.796996996996998774e+00,7.255055551233377642e+00
9.873973973973974694e+00,5.315903772204399580e+00
9.950950950950952389e+00,3.597889086221067512e+00
1.002792792792792831e+01,2.187547146222752037e+00
1.010490490490490600e+01,1.153390781632494200e+00
1.018188188188188370e+01,5.390995834750438309e-01
1.025885885885885962e+01,3.579892891760120266e-01
1.033583583583583732e+01,5.904568908858385257e-01
1.041281281281281323e+01,1.185578306325463682e+00
1.048978978978979093e+01,2.066952493573871230e+00
1.056676676676676863e+01,3.141666901070370166e+00
1.064374374374374455e+01,4.310451734958014924e+00
1.072072072072072224e+01,5.477031523331294949e+00
1.079769769769769816e+01,6.555305504458252663e+00
1.087467467467467586e+01,7.473909946085855793e+00
1.095165165165165355e+01,8.178498404957165846e+00
1.102862862862862947e+01,8.632458336445713698e+00
1.110560560560560717e+01,8.816749680318634930e+00
1.118258258258258309e+01,8.729268843775988884e+00
1.125955955955956078e+01,8.383830302535633550e+00
1.133653653653653670e+01,7.808675135042217441e+00
1.141351351351351440e+01,7.044392950782636831e+00
