name,amplitude,phase,omega,scale,bins,generator,degree,mean_amplitude,bias,sd,frequency_rmse,frequency_within_0p5,power,false_negative_rate,matched_null_q95
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,7,0.8589321003485351,-0.14106789965146493,0.07917876060443396,0.09977356550702011,1.0,1.0,0.0,13.791458735890485
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,12,0.23666307857428542,-0.7633369214257146,0.044606119277357165,19.077594179007956,0.0,0.67,0.32999999999999996,14.400430416430485
amplitude_0.25,0.25,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,7,0.2371272294277325,-0.012872770572267489,0.07309760241581625,31.739981426817643,0.37,0.25,0.75,13.857479463675764
amplitude_0.25,0.25,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,12,0.08215351282135223,-0.16784648717864775,0.04054945574465967,43.036733945061954,0.0,0.09,0.91,13.801253431591416
amplitude_0.5,0.5,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,7,0.4319489321419926,-0.06805106785800741,0.06922123711635285,5.95972837201278,0.96,0.94,0.06000000000000005,14.425006901663465
amplitude_0.5,0.5,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,12,0.12289792118994937,-0.37710207881005064,0.04203724234462251,39.730434590891775,0.0,0.13,0.87,13.816369742752691
phase_1.3394046415016787,1.0,1.3394046415016787,7.025825825825827,1.0,350,spline_s2,7,0.6525095391532635,-0.3474904608467365,0.07092999657232958,0.28062305098511,0.98,1.0,0.0,14.478522178412787
phase_1.3394046415016787,1.0,1.3394046415016787,7.025825825825827,1.0,350,spline_s2,12,0.30191213073072537,-0.6980878692692747,0.05079475285271434,0.9401281112115069,0.0,0.95,0.050000000000000044,14.808448650426918
phase_2.910200968296575,1.0,2.910200968296575,7.025825825825827,1.0,350,spline_s2,7,0.8736241949800824,-0.12637580501991763,0.0817214360722365,0.09269255486577871,1.0,1.0,0.0,15.069654344557614
phase_2.910200968296575,1.0,2.910200968296575,7.025825825825827,1.0,350,spline_s2,12,0.23830379797194953,-0.7616962020280504,0.04200004872602159,12.033454085949726,0.0,0.85,0.15000000000000002,14.215369092558321
omega_5.620660660660661,1.0,-0.2313916852932179,5.620660660660661,1.0,350,spline_s2,7,0.7598521428771784,-0.2401478571228216,0.07502397234236795,0.05143499208966715,1.0,1.0,0.0,13.91173236619175
omega_5.620660660660661,1.0,-0.2313916852932179,5.620660660660661,1.0,350,spline_s2,12,0.02806074053136162,-0.9719392594686384,0.01376561615667766,43.6836660198052,0.0,0.06,0.94,13.367221256341463
omega_8.430990990990992,1.0,-0.2313916852932179,8.430990990990992,1.0,350,spline_s2,7,0.855842204462599,-0.14415779553740105,0.07396917969996117,0.1269145315136146,1.0,1.0,0.0,14.865489736880873
omega_8.430990990990992,1.0,-0.2313916852932179,8.430990990990992,1.0,350,spline_s2,12,0.6446853226285856,-0.3553146773714144,0.06652062894221872,0.22298844218220895,1.0,1.0,0.0,14.523949818292968
scale_0.25,1.0,-0.2313916852932179,7.025825825825827,0.25,350,spline_s2,7,0.8466380331917357,-0.1533619668082643,0.07268837499968742,0.12171128732079511,1.0,1.0,0.0,12.18879362727587
scale_0.25,1.0,-0.2313916852932179,7.025825825825827,0.25,350,spline_s2,12,0.250783180993067,-0.749216819006933,0.04646398929045306,18.26218875269995,0.0,0.83,0.17000000000000004,11.750096784912845
scale_4.0,1.0,-0.2313916852932179,7.025825825825827,4.0,350,spline_s2,7,0.8687591984568742,-0.13124080154312578,0.06784616976719139,0.10270009674988159,1.0,1.0,0.0,14.458806652522476
scale_4.0,1.0,-0.2313916852932179,7.025825825825827,4.0,350,spline_s2,12,0.23206875941217,-0.76793124058783,0.04379332200025448,15.546837867920768,0.0,0.72,0.28,14.132836400810978
bins_175,1.0,-0.2313916852932179,7.025825825825827,1.0,175,spline_s2,7,0.8657368918458398,-0.1342631081541602,0.12197881859883082,0.12073367078783191,1.0,1.0,0.0,14.162843110179471
bins_175,1.0,-0.2313916852932179,7.025825825825827,1.0,175,spline_s2,12,0.24501061071563865,-0.7549893892843613,0.05789374138913044,31.71345232654714,0.0,0.28,0.72,13.746229813205927
bins_700,1.0,-0.2313916852932179,7.025825825825827,1.0,700,spline_s2,7,0.8509236490744274,-0.1490763509255726,0.05660977885404272,0.09332962459602889,1.0,1.0,0.0,14.9928946324398
bins_700,1.0,-0.2313916852932179,7.025825825825827,1.0,700,spline_s2,12,0.2397825899627972,-0.7602174100372028,0.03137965100921196,1.1170417676340343,0.0,1.0,0.0,15.063626436889711
generator_pois_poly12,1.0,-0.2313916852932179,7.025825825825827,1.0,350,pois_poly12,7,1.9242253949218828,0.9242253949218828,0.1110168349856642,0.17519662331158886,1.0,1.0,0.0,216.3986427480936
generator_pois_poly12,1.0,-0.2313916852932179,7.025825825825827,1.0,350,pois_poly12,12,0.27606806816257,-0.72393193183743,0.0440321309137885,10.895152290446456,0.0,0.82,0.18000000000000005,14.341846868110451
