label,bins,degree,amplitude,q,naive_p,naive_se
H2,175,7,2.0045153594441776,189.11640117157216,2.4784142040537423e-43,0.1457621585282744
H2,175,12,-0.0878628278951,0.0,1.0,0.1457621585282744
H2,350,7,1.3709468081495226,171.95427289879476,1.3845789299060658e-39,0.10454761231147146
H2,350,12,-0.044292110106076504,0.0,1.0,0.10454761231147146
H2,500,7,1.1245182885117317,166.79387289530266,1.855345744388896e-38,0.08707159027019554
H2,500,12,-0.04839006024683703,0.0,1.0,0.08707159027019554
G1,175,7,1.9504651380027702,165.0107270747111,4.549217281683981e-38,0.15183856942800375
G1,175,12,0.08491042984230014,0.3127215947719995,0.2880074441505676,0.15183856942800375
G1,350,7,1.2900377237182852,146.96969762687252,3.98405645990567e-34,0.10641148647281572
G1,350,12,0.014875057492956475,0.01954070759639927,0.4444137153957405,0.10641148647281572
G1,500,7,1.0990545271031904,152.67484246842628,2.2558285552142022e-35,0.08894785905353657
G1,500,12,0.01744410062985692,0.0384614956146507,0.42225967648629437,0.08894785905353657
G2,175,7,1.8271374561073588,148.51940613138385,1.826260373626642e-34,0.14992691981629333
G2,175,12,-0.06746307577381747,0.0,1.0,0.14992691981629333
G2,350,7,1.3678935523937474,164.4822805616523,5.934384778467614e-38,0.1066578298834008
G2,350,12,-0.06931930528419065,0.0,1.0,0.1066578298834008
G2,500,7,1.1571729566734754,166.71410954139776,1.9312918270303695e-38,0.08962147700366078
G2,500,12,-0.06375592521648876,0.0,1.0,0.08962147700366078
