name,amplitude,phase,omega,scale,bins,generator,injected,trial,degree,recovered_omega,recovered_amplitude,search_score
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,0,7,51.74944944944946,0.1055209320887885,13.757043116953184
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,0,12,51.74944944944946,0.062143773142478556,13.434767291411731
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,1,7,47.28478478478479,0.14057953413578236,7.749297759301726
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,1,12,47.28478478478479,0.08970410687893934,7.589270876962871
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,2,7,78.15255255255256,0.1762776919289424,11.322785883070367
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,2,12,78.15255255255256,0.05209604738019874,11.837770391203406
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,3,7,67.83763763763764,0.11268078104198774,8.549358452751505
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,3,12,67.83763763763764,0.02090098816260194,7.89430629493657
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,4,7,72.91811811811812,0.19412291476341764,11.381101741723171
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,4,12,78.07557557557558,0.05235454561513193,10.855331370173246
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,5,7,31.966366366366373,0.13167943948455793,11.14284091850368
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,5,12,31.812412412412417,0.03571465446343898,11.04967785099194
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,6,7,69.06926926926927,0.09170581284660305,12.766606177952013
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,6,12,69.06926926926927,0.04877349473121571,12.632420823027871
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,7,7,30.426826826826833,0.12887229760345975,11.939254702744506
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,7,12,30.580780780780785,0.038826238894919235,10.377049503048795
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,8,7,72.9950950950951,0.12110333543533992,9.934608645659239
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,8,12,73.07207207207207,0.09269393014686662,9.443854226211556
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,9,7,31.042642642642647,0.06628214067894464,11.28391898168178
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,9,12,31.042642642642647,0.036151155393877116,9.836643647226907
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,10,7,68.14554554554554,0.09787427226651539,7.641907406465066
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,10,12,24.34564564564565,0.038614540228443045,8.851123937978912
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,11,7,48.208508508508515,0.11930680710505656,11.703094298340204
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,11,12,48.208508508508515,0.02927826117452858,10.666626391737054
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,12,7,26.11611611611612,0.04639305893807084,9.907608736669943
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,12,12,26.039139139139145,0.039733149909045445,7.1646326886265115
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,13,7,75.15045045045045,0.09629026293728662,9.490037159251415
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,13,12,75.07347347347348,0.002780300165296036,9.950858900450157
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,14,7,80.0,0.23570006699235638,9.034405687736665
nominal,1.0,-0.2313916852932179,7.025825825825827,1.0,350,spline_s2,0,14,12,80.0,0.09598008306685517,8.995042881088807
