source,target,model,scale,predictive_deviance,amplitude,q,naive_p,naive_se
G1,G2,spline_s3.0,0.9629646612260585,1046.1348449886686,0.9014760108341654,108.87778071510617,8.630374036399281e-26,0.08639419139877527
G1,G2,spline_s4.0,0.9642287908142043,1034.7809399135945,0.90450574447417,109.6108562385832,5.962284127168176e-26,0.08639419139877527
G1,G2,pois_poly2,0.9730531757047811,5579.010972825114,1.592266600903566,339.6741384757344,3.756708920840577e-76,0.08639419139877527
G1,G2,pois_poly3,0.9730531757047819,976.4478840095164,0.9625478431405815,124.1296588794392,3.9457397526353095e-29,0.08639419139877527
G1,G2,pois_poly5,0.9730531757047816,765.0467728523038,1.028777932265885,141.7993340691341,5.379331105891546e-33,0.08639419139877527
G1,G2,pois_poly7,0.9730531757047819,744.9407044433108,1.037243953410838,144.14272733801224,1.65331557610395e-33,0.08639419139877527
G1,G2,pois_poly9,0.9730531757047816,433.66728632719867,0.2777992394731738,10.339344748691001,0.0006511211618205533,0.08639419139877527
G1,G2,pois_poly12,0.9730531757047816,377.6974778404313,0.09199796212731784,1.1339328215431317,0.14346900650685207,0.08639419139877527
G1,G2,pois_poly16,0.9730531757047811,357.9395728522572,0.040432577005362826,0.21902503390370187,0.31989189989331546,0.08639419139877527
G1,G2,pois_poly20,0.9730531757047813,337.10603247744973,0.06172663020303961,0.5104768462297483,0.23746625291877177,0.08639419139877527
G1,G2,pspline_8_0.1,0.9730531757047819,421.02040964242013,0.23792694734606143,7.584346684468885,0.0029438648965533875,0.08639419139877527
G1,G2,pspline_8_1,0.9730531757047816,422.97854045286294,0.2637099858939667,9.317170920574634,0.0011350812071212212,0.08639419139877527
G1,G2,pspline_8_10,0.9730531757047811,453.64535598452466,0.45961278996631283,28.301869410706434,5.189784925693274e-08,0.08639419139877527
G1,G2,pspline_8_100,0.9730531757047819,630.742546054119,0.8545060314780284,97.82754986168511,2.282262838687111e-23,0.08639419139877527
G1,G2,pspline_16_0.1,0.9730531757047816,333.89904436996403,0.06644376684209491,0.5914790990618751,0.22092386479734138,0.08639419139877527
G1,G2,pspline_16_1,0.9730531757047813,350.90835985366004,0.07911993267763735,0.8386924425947009,0.1798855004119917,0.08639419139877527
G1,G2,pspline_16_10,0.9730531757047816,388.33152366906927,0.15324733741095467,3.1464206723868107,0.038046854327281464,0.08639419139877527
G1,G2,pspline_16_100,0.9730531757047817,436.74382266575077,0.42492555051044845,24.19115493701735,4.36159933474919e-07,0.08639419139877527
G1,G2,pspline_24_0.1,0.9730531757047813,339.6603791748618,0.057612584697775984,0.4446984653763584,0.2524316902444821,0.08639419139877527
G1,G2,pspline_24_1,0.9730531757047816,341.1991532641915,0.06293632116459638,0.5306810970718835,0.23316032642094492,0.08639419139877527
G1,G2,pspline_24_10,0.9730531757047816,364.2568488024318,0.09272990951804798,1.1520480245368885,0.14156041822081228,0.08639419139877527
G1,G2,pspline_24_100,0.9730531757047816,404.19058451470465,0.24218257378796332,7.8580844569030495,0.0025296982860445513,0.08639419139877527
G1,G2,pspline_40_0.1,0.9730531757047816,341.9401932757389,0.055919606728097176,0.41894704200031874,0.2587314589724375,0.08639419139877527
G1,G2,pspline_40_1,0.9730531757047817,341.2749725082578,0.05745018599629724,0.4421949613659427,0.2530324695988776,0.08639419139877527
G1,G2,pspline_40_10,0.9730531757047813,345.71035607642284,0.06821512846668487,0.6234366279827805,0.21488653655454398,0.08639419139877527
G1,G2,pspline_40_100,0.9730531757047817,375.7371357692549,0.12285056524175104,2.022018988127958,0.07751644360376714,0.08639419139877527
G1,G2,cms_dijet_form,0.9730531757047817,933.093352522339,0.9373492221969261,117.71552889134837,1.000637488811062e-27,0.08639419139877527
G1,G2,local_0.15,0.9571897599018626,387.32828228337473,0.17034784094518926,3.8878023556662993,0.02431901419267427,0.08639419139877527
G1,G2,local_0.3,0.9536207583164545,518.0146550691641,0.6583535417368518,58.069657439572815,1.2649933045053902e-14,0.08639419139877527
G1,G2,local_0.5,0.9381544251303908,712.3809897785578,0.8958930339961265,107.53336371514571,1.7006555659413908e-25,0.08639419139877527
