label,split,model,predictive_deviance
H2,3,cheb_d10,359.0890460218969
H2,3,cheb_d11,349.4541725708763
H2,3,cheb_d12,334.0096469551227
H2,3,bernstein_d5,526.4255054570574
H2,3,bernstein_d7,520.2869736715501
H2,3,bernstein_d9,358.5561965192841
H2,3,bernstein_d12,334.00964695512596
H2,3,spline_s0.5,405.3592546012517
H2,3,spline_s1,347.59496093143656
H2,3,spline_s2,626.5476529799928
H2,3,cheb_d2,2169.5436861314647
H2,3,cheb_d3,626.5476529799932
H2,3,cheb_d14,329.7518229368802
H2,3,cheb_d16,335.9510701819682
H2,3,cheb_d20,335.3589924617617
H2,3,spline_s0.25,493.40188805907997
H2,3,spline_s1.5,460.7290774563128
H2,3,spline_s3.0,626.5476529799928
H2,3,spline_s4.0,626.5476529799928
H2,4,pois_poly2,1875.9968973247708
H2,4,pois_poly3,624.0404839604889
H2,4,pois_poly5,513.2120473910679
H2,4,pois_poly7,487.62751791731444
H2,4,pois_poly9,384.075124376349
H2,4,pois_poly12,342.2023927101692
H2,4,pois_poly16,334.60775098589534
H2,4,pois_poly20,338.8404009344888
H2,4,pspline_8_0.1,361.27469283141556
H2,4,pspline_8_1,355.09086716993517
H2,4,pspline_8_10,390.8937480162854
H2,4,pspline_8_100,487.791823239745
H2,4,pspline_16_0.1,336.2421795762508
H2,4,pspline_16_1,344.99996980843713
H2,4,pspline_16_10,349.6769683936068
H2,4,pspline_16_100,385.83207252005036
H2,4,pspline_24_0.1,348.2538912704211
H2,4,pspline_24_1,346.16222229261086
H2,4,pspline_24_10,347.8975359720618
H2,4,pspline_24_100,360.2939202157591
H2,4,pspline_40_0.1,357.1075518005324
H2,4,pspline_40_1,349.349880257465
H2,4,pspline_40_10,346.7895494591892
H2,4,pspline_40_100,347.7597972961463
H2,4,cms_dijet_form,517.1557114759996
H2,4,local_0.15,345.5919214534257
H2,4,local_0.3,380.68595066780097
H2,4,local_0.5,463.31007558471487
H2,4,cheb_d5,545.5851033468598
H2,4,cheb_d6,535.05874947813
H2,4,cheb_d7,548.1174719157034
H2,4,cheb_d8,408.35790703301814
H2,4,cheb_d9,370.2665728648065
H2,4,cheb_d10,370.3754349872049
H2,4,cheb_d11,356.35349437431864
H2,4,cheb_d12,334.68129340909786
H2,4,bernstein_d5,545.5851033468589
H2,4,bernstein_d7,548.1174719157048
H2,4,bernstein_d9,370.26657286480736
H2,4,bernstein_d12,334.6812934090965
H2,4,spline_s0.5,393.55483056901176
H2,4,spline_s1,333.76545739927303
H2,4,spline_s2,666.6083247493311
H2,4,cheb_d2,1966.3918309993542
H2,4,cheb_d3,666.6083247493259
H2,4,cheb_d14,329.37931212095896
H2,4,cheb_d16,328.93718549727805
H2,4,cheb_d20,333.9077652092044
H2,4,spline_s0.25,471.23135261568353
H2,4,spline_s1.5,480.44476077589997
H2,4,spline_s3.0,666.6083247493311
H2,4,spline_s4.0,666.6083247493311
G1,0,pois_poly2,3158.82205531266
G1,0,pois_poly3,711.7661982972132
G1,0,pois_poly5,581.2101762555349
G1,0,pois_poly7,524.130251876297
G1,0,pois_poly9,354.08143737588676
G1,0,pois_poly12,329.53329023773244
G1,0,pois_poly16,318.0554455114013
G1,0,pois_poly20,320.82058554734317
G1,0,pspline_8_0.1,337.6657968442414
G1,0,pspline_8_1,341.0292268293594
G1,0,pspline_8_10,397.65917788261015
G1,0,pspline_8_100,580.4193178234059
G1,0,pspline_16_0.1,325.7581674154236
G1,0,pspline_16_1,325.70175676656083
G1,0,pspline_16_10,338.2466687064708
G1,0,pspline_16_100,410.42035628437355
G1,0,pspline_24_0.1,328.2061129547004
G1,0,pspline_24_1,322.3242128344329
G1,0,pspline_24_10,328.21217652549063
G1,0,pspline_24_100,358.4645824185005
G1,0,pspline_40_0.1,343.3623298834571
G1,0,pspline_40_1,335.140579882018
G1,0,pspline_40_10,326.99033115939153
G1,0,pspline_40_100,335.3333278564329
G1,0,cms_dijet_form,678.8711175142163
G1,0,local_0.15,351.2369424437667
G1,0,local_0.3,430.6945127659995
G1,0,local_0.5,583.563069506949
G1,0,cheb_d5,606.2199669380195
G1,0,cheb_d6,556.9093316889526
G1,0,cheb_d7,553.9332408005938
G1,0,cheb_d8,410.27995039638665
G1,0,cheb_d9,375.26426549645356
G1,0,cheb_d10,357.3439026551188
G1,0,cheb_d11,350.71266501582613
G1,0,cheb_d12,349.40596217997154
G1,0,bernstein_d5,606.2199669380154
G1,0,bernstein_d7,553.9332408005957
G1,0,bernstein_d9,375.2642654964528
G1,0,bernstein_d12,349.4059621799784
G1,0,spline_s0.5,404.9709125225429
G1,0,spline_s1,359.9650072373329
G1,0,spline_s2,732.2999161681407
G1,0,cheb_d2,3724.2548330074974
G1,0,cheb_d3,732.2999161681357
G1,0,cheb_d14,348.1561607383785
G1,0,cheb_d16,338.35747218926076
G1,0,cheb_d20,338.8077617838896
G1,0,spline_s0.25,454.8000014572949
G1,0,spline_s1.5,546.9955957414554
G1,0,spline_s3.0,732.2999161681407
G1,0,spline_s4.0,732.2999161681407
G1,1,pois_poly2,3042.993342538538
G1,1,pois_poly3,721.2792366592982
G1,1,pois_poly5,592.2129797573939
G1,1,pois_poly7,533.5576099619839
G1,1,pois_poly9,372.57727273698225
G1,1,pois_poly12,359.8607516200377
G1,1,pois_poly16,361.9332866731052
G1,1,pois_poly20,362.97050414005
G1,1,pspline_8_0.1,373.5266935425582
G1,1,pspline_8_1,377.1690391612793
G1,1,pspline_8_10,420.42283418141324
G1,1,pspline_8_100,587.4930253112424
G1,1,pspline_16_0.1,363.1911181601224
G1,1,pspline_16_1,361.6454358283871
G1,1,pspline_16_10,372.6041494980354
G1,1,pspline_16_100,428.9066073617135
G1,1,pspline_24_0.1,359.5461755119593
G1,1,pspline_24_1,358.1755899490353
G1,1,pspline_24_10,364.49224510932527
G1,1,pspline_24_100,386.14739427467885
G1,1,pspline_40_0.1,377.2598189279636
G1,1,pspline_40_1,368.0005289775233
G1,1,pspline_40_10,362.0876823931773
G1,1,pspline_40_100,369.96339725799623
G1,1,cms_dijet_form,687.2008224608185
G1,1,local_0.15,375.563697875692
G1,1,local_0.3,430.49425505060617
G1,1,local_0.5,576.6951762390648
G1,1,cheb_d5,604.7851863435933
G1,1,cheb_d6,559.3640854807034
G1,1,cheb_d7,548.4424369017642
G1,1,cheb_d8,431.9152443862058
G1,1,cheb_d9,387.63526878734837
G1,1,cheb_d10,372.8075842851848
G1,1,cheb_d11,379.72342369307205
G1,1,cheb_d12,372.7782647468091
G1,1,bernstein_d5,604.7851863435915
G1,1,bernstein_d7,548.442436901766
G1,1,bernstein_d9,387.63526878735047
G1,1,bernstein_d12,372.7782647468115
G1,1,spline_s0.5,444.91351203641057
G1,1,spline_s1,381.0019731153061
G1,1,spline_s2,732.0572555819074
G1,1,cheb_d2,3636.806965593746
G1,1,cheb_d3,734.317939449898
G1,1,cheb_d14,378.59478759421967
G1,1,cheb_d16,374.90553418899924
G1,1,cheb_d20,374.4289599654616
G1,1,spline_s0.25,494.6918285926003
G1,1,spline_s1.5,542.1179120031651
G1,1,spline_s3.0,734.3179394499014
G1,1,spline_s4.0,734.3179394499014
G1,2,pois_poly2,2989.8980819431044
G1,2,pois_poly3,685.3100319579703
G1,2,pois_poly5,590.687551169261
G1,2,pois_poly7,526.8560261046116
G1,2,pois_poly9,380.63970724541457
G1,2,pois_poly12,360.4512350606428
G1,2,pois_poly16,353.6501544841727
