label,model,amplitude,se,ci95,deviance_improvement,positive_q,converged,penalized
H1,pois_poly2,1.3493624478645625,0.09199028108665742,"[1.169061496934714, 1.529663398794411]",219.57286492680555,219.57286492680555,True,False
H1,pois_poly3,0.9559716596056224,0.09230119583741399,"[0.7750613157642909, 1.1368820034469538]",108.67142095658232,108.67142095658232,True,False
H1,pois_poly5,0.9167723997318304,0.09300386497922472,"[0.73448482437255, 1.099059975091111]",98.12497831347207,98.12497831347207,True,False
H1,pois_poly7,0.9225663760688536,0.09355658124748199,"[0.7391954768237889, 1.1059372753139183]",98.07140709563629,98.07140709563629,True,False
H1,pois_poly9,0.5197922799778911,0.10708172180885743,"[0.30991210523253054, 0.7296724547232517]",23.7364393005671,23.7364393005671,True,False
H1,pois_poly12,0.018685451351226456,0.17507883949689793,"[-0.3244690740626935, 0.3618399767651464]",0.01139242879133917,0.01139242879133917,True,False
H1,pois_poly16,-1.574608276037761,1.1617918047370326,"[-3.851720213322345, 0.7025036612468227]",1.8399720082352928,0.0,True,False
H1,pois_poly20,-2.2345566091489397,3.586723883881383,"[-9.264535421556449, 4.79542220325857]",0.3879285399009973,0.0,True,False
H1,pspline_16_0.1,1.1678864020096553,1.413274639512223,"[-1.6021318914343017, 3.9379046954536125]",0.5931889590974322,0.5931889590974322,True,True
H1,pspline_16_1,0.8720693710005744,0.5433679343113585,"[-0.19293178024968827, 1.937070522250837]",0.5862181015485532,0.5862181015485532,True,True
H1,pspline_16_10,0.8082646041048056,0.20998647557336594,"[0.39669111198100837, 1.2198380962286028]",5.1140406442228254,5.1140406442228254,True,True
H1,pspline_16_100,0.8413736475031199,0.11742313544205875,"[0.6112243020366848, 1.071522992969555]",31.345499915276775,31.345499915276775,True,True
H2,pois_poly2,1.8550871036965972,0.09204502767683585,"[1.674678849449999, 2.0354953579431956]",414.63349101308995,414.63349101308995,True,False
H2,pois_poly3,1.2851748538932133,0.09229766171380879,"[1.104271436934148, 1.4660782708522786]",196.3807784208933,196.3807784208933,True,False
H2,pois_poly5,1.2117777844211621,0.09295416758007612,"[1.029587615964213, 1.3939679528781113]",171.59290242576685,171.59290242576685,True,False
H2,pois_poly7,1.2191847480202584,0.09342143260030297,"[1.0360787401236646, 1.4022907559168523]",171.7494112115457,171.7494112115457,True,False
H2,pois_poly9,0.5904255485970351,0.10714780552110922,"[0.380415849775661, 0.8004352474184092]",30.549284088351328,30.549284088351328,True,False
H2,pois_poly12,-0.1833872990128905,0.17388046494249107,"[-0.524193010300173, 0.157418412274392]",1.1110030964112525,0.0,True,False
H2,pois_poly16,-2.776526008952373,1.0821527675087097,"[-4.897545433269444, -0.6555065846353023]",6.597840240490541,0.0,True,False
H2,pois_poly20,-2.3245629192261625,3.771499376799248,"[-9.716701697752688, 5.067575859300364]",0.3799510183828261,0.0,True,False
H2,pspline_16_0.1,2.340979022522391,1.81950010497014,"[-1.2252411832190835, 5.907199228263865]",2.4193497094353233,2.4193497094353233,True,True
H2,pspline_16_1,0.7521625469667146,0.7161178599775405,"[-0.6514284585892649, 2.155753552522694]",0.4517078805320125,0.4517078805320125,True,True
H2,pspline_16_10,0.7510625631027581,0.2616103989955804,"[0.23830618107142054, 1.2638189451340955]",0.8370439564940284,0.8370439564940284,True,True
H2,pspline_16_100,0.9434012472138287,0.13032272844351964,"[0.6879686994645302, 1.1988337949631271]",19.329420159008123,19.329420159008123,True,True
G1,pois_poly2,1.7531952891100835,0.09214990642230411,"[1.5725814725223675, 1.9338091056977995]",369.2721178759439,369.2721178759439,True,False
G1,pois_poly3,1.046259788805152,0.09221611267542175,"[0.8655162079613252, 1.2270033696489786]",130.09992002421473,130.09992002421473,True,False
G1,pois_poly5,1.1193593591848614,0.09262879882628534,"[0.9378069134853422, 1.3009118048843806]",147.263271488771,147.263271488771,True,False
G1,pois_poly7,1.1299154482104976,0.09316200401119193,"[0.9473179203485614, 1.312512976072434]",148.19329851390603,148.19329851390603,True,False
G1,pois_poly9,0.3442155166030566,0.10964529004848833,"[0.12931074810801949, 0.5591202850980937]",9.899500239345116,9.899500239345116,True,False
G1,pois_poly12,0.0961455682340297,0.1604542743034634,"[-0.21834480940075857, 0.41063594586881796]",0.35929502917605305,0.35929502917605305,True,False
G1,pois_poly16,-1.2281107488767935,0.6561483644525294,"[-2.514161543203751, 0.05794004545016418]",3.5111557225365573,0.0,True,False
G1,pois_poly20,3.893747543992993,3.218637656774686,"[-2.4147822632853915, 10.202277351271377]",1.4622903671294125,1.4622903671294125,True,False
G1,pspline_16_0.1,2.1243803290778946,1.6821215472547406,"[-1.1725779035413968, 5.421338561697186]",2.0637681699221275,2.0637681699221275,True,True
G1,pspline_16_1,0.851699457497724,0.6352127993641387,"[-0.3933176292559878, 2.0967165442514357]",0.9820563574486982,0.9820563574486982,True,True
G1,pspline_16_10,0.6684961381422536,0.24060727182666036,"[0.19690588536199932, 1.1400863909225079]",2.460547224883271,2.460547224883271,True,True
G1,pspline_16_100,0.7832197700524233,0.1282419508102929,"[0.5318655464642492, 1.0345739936405973]",12.465882736649746,12.465882736649746,True,True
G2,pois_poly2,1.72174071442092,0.09216130815328517,"[1.541104550440481, 1.902376878401359]",356.01019910070136,356.01019910070136,True,False
G2,pois_poly3,1.0772926875796651,0.09228327341763758,"[0.8964174716810955, 1.2581679034782347]",137.81458880484433,137.81458880484433,True,False
G2,pois_poly5,1.1716340952914606,0.09272920162351886,"[0.9898848601093636, 1.3533833304735574]",161.1195573798243,161.1195573798243,True,False
G2,pois_poly7,1.2040237735727486,0.09297540221203031,"[1.021791985237169, 1.386255561908328]",169.14051961963492,169.14051961963492,True,False
G2,pois_poly9,0.4463317443052646,0.11013909370978163,"[0.23045912063409263, 0.6622043679764367]",16.53223846172034,16.53223846172034,True,False
G2,pois_poly12,-0.08182417747269562,0.15944085058617352,"[-0.3943282446215957, 0.2306798896762045]",0.26318526439553125,0.0,True,False
G2,pois_poly16,0.09919020884995454,0.6356362443631567,"[-1.1466568301018325, 1.3450372478017416]",0.024348689939756696,0.024348689939756696,True,False
G2,pois_poly20,1.994783293545124,2.797177782749676,"[-3.487685160644241, 7.477251747734489]",0.5090765432778426,0.5090765432778426,True,False
G2,pspline_16_0.1,1.7316928657108017,1.702071267507427,"[-1.604366818603755, 5.067752550025358]",1.1750463437259668,1.1750463437259668,True,True
G2,pspline_16_1,0.9230360057240756,0.641121066938487,"[-0.3335612854753589, 2.17963329692351]",0.8168444814921259,0.8168444814921259,True,True
G2,pspline_16_10,0.8013433265557779,0.24038516424029327,"[0.3301884046448031, 1.2724982484667526]",3.339921189139659,3.339921189139659,True,True
G2,pspline_16_100,0.9108478200279548,0.1278750152054719,"[0.6602127902252299, 1.1614828498306797]",20.508325692841083,20.508325692841083,True,True
