label,variant,model,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
H2,log_250_shift0.25,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",204,204,1.0086866634384142,2.876493699898271,0.002496481531084777,0.055479232348279436,0.0005768392587981452,0.28687091764149736,0.00233804040995734,0.0005244473900916091,0.49086469460191656,True
H2,log_250_shift0.25,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",204,198,1.7757561639788153,9.127134900431194,1.1594700900937425,-0.09799834758424802,126.49250760858092,0.13339333770896988,1.1368529900568882,123.99566982862405,4.221382201192083e-29,True
H2,log_250_shift0.5,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",207,200,2.0728604763948613,13.882581406841647,1.21232545440078,-0.285113006494026,144.63956517548604,-0.05372132120080808,1.2155028408204678,144.18805922724414,1.6160124341184424e-33,True
H2,log_250_shift0.5,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",207,207,1.063400215488706,3.4359693673656024,0.1304052014897116,-2.605179666140895,1.612156032859076,-2.373787980847677,-0.0869639346665951,0.0,1.0,False
H2,log_250_shift0.5,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",207,207,1.0082893690953234,2.9699949923301077,0.04242832547071926,-2.4679023795611297,0.17336161536479722,-2.2365106942679116,-0.023679355583504987,0.0,1.0,False
H2,log_250_shift0.5,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",207,202,1.932387385576447,12.039410729744505,1.1866890224750801,-0.08023821818374471,134.64037215667827,0.1511534671094732,1.1596356283050253,131.2382528040007,1.09801159160866e-30,True
H2,log_250_shift0.75,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",205,198,1.9751782066081893,12.533913122467164,1.1296849505171807,-0.3292752424657028,124.66693231873126,-0.09788355717248487,1.1323752992068326,123.37586319854563,5.769194859558174e-29,True
H2,log_250_shift0.75,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",205,205,1.1078273313775218,3.024422003546674,0.11982209260700281,-2.3866757019172904,1.3902877351602285,-2.1552840166240723,-0.05878458356314406,0.0,1.0,False
H2,log_250_shift0.75,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",205,205,1.009305888350329,3.259178063703287,0.019737743225481347,-1.8065550557089898,0.04144409370996982,-1.575163370415772,0.0013615494725506595,0.00017836772860846395,0.49467210943001727,True
H2,log_250_shift0.75,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",205,199,1.841559566320083,10.62044244978571,1.0868655762427009,-0.08994844769807339,111.57133493273841,0.14144323759514452,1.0647731895075623,109.0846503525056,7.775055438485528e-26,True
H2,log_300_shift0.0,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",245,239,1.7011285869385477,10.327976814405122,1.0070233406617768,-0.32066479343700516,117.62997361186206,-0.08927310814378725,1.0096514498629032,116.60629293945965,1.750517656093171e-27,True
H2,log_300_shift0.0,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",245,245,1.0408082851801643,2.966352434427104,0.09921356295419695,-2.2638649742012746,1.1639862027337244,-2.0324732889080566,-0.03762696847847933,0.0,1.0,False
H2,log_300_shift0.0,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",245,245,1.0105142221485335,2.930484803131036,0.10026681291552639,-1.2810180977558268,1.3234987259351954,-1.049626412462609,0.05635170480776294,0.363239576664796,0.27335626963790594,True
H2,log_300_shift0.0,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",245,237,1.746415033300192,9.96170327833805,1.1373828932538452,0.039985956890214044,143.55565964105517,0.27137764218343197,1.0732146850109865,131.75049495816393,8.48284339259706e-31,True
H2,log_300_shift0.25,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",247,240,1.8211858940422596,12.3817886702989,1.0848390648892896,-0.19225361207913413,135.14014636048898,0.039138073214083774,1.0806770519607358,134.9099604737196,1.7274313691480837e-31,True
H2,log_300_shift0.25,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",247,246,1.1033571508957656,4.701241177061069,0.040679551102076786,-2.512595945520858,0.18864139172973182,-2.28120426022764,-0.024108676606746288,0.0,1.0,False
H2,log_300_shift0.25,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",247,247,1.0104452019605392,2.851969541055886,0.01414478198136705,0.6364130451601052,0.022830663502730886,0.8678047304533232,0.008297759656922641,0.007953785216017195,0.4644678418528253,True
H2,log_300_shift0.25,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",247,238,1.901430951480066,12.371935513428912,1.1887642484500156,0.09267541077633143,157.36711332910807,0.3240670960695493,1.0971801697832417,139.06186693795735,2.1346984226121712e-32,True
