label,model,search,omega,amplitude,phase,delta_chi2,local_p_chi2_2dof,c0,cos_coeff,sin_coeff
H2,cheb_d7,0.5:80:3000,6.597032344114704,0.9727340582087596,-1.997301354914534,128.5865183541115,1.1961683742647628e-28,0.05414896614519226,-0.40241176607974255,-0.8855937660800606
H2,cheb_d7,3.1:80:1000,6.563963963963964,0.9719252900689751,-2.128489253085053,128.5604205454133,1.2118793435033293e-28,0.06441619542180764,-0.5143721243071304,-0.8246575575421785
H2,cheb_d7,5:9:1001,6.588,0.9725916527653691,-2.0331080040133154,128.59389134296657,1.1917668243481002e-28,0.05692013347675403,-0.43379367854629247,-0.870492715352718
H2,cheb_d7,0.5:160:4000,6.6024006001500375,0.9727908747972499,-1.9760281485086413,128.57699319906328,1.2018788062729194e-28,0.05251503805738118,-0.38350511478814464,-0.8940055441775128
H2,cheb_d7,fixed_control,3.5129129129129133,0.3863849487246126,2.609543452157455,22.33663129226602,1.4114390952666087e-05,0.07931489029725902,-0.3329746945331498,0.19601321741524752
H2,cheb_d7,fixed_control,7.025825825825827,0.9368149217260264,-0.30600431407727013,118.94119682705798,1.4867819278703426e-26,-0.02053735872179125,0.8932950748436869,-0.28221641842485506
H2,cheb_d7,fixed_control,14.051651651651653,0.3129167082969671,2.9570067352162774,13.285628525101743,0.0013033540970351328,0.05673805763045452,-0.3076009841582884,0.05743257678584178
H2,cheb_d7,fixed_control,6.025825825825827,0.9414159629782448,1.9533180629610043,118.60665319179054,1.7574885362994045e-26,0.20813143936464498,-0.35139399062171983,0.8733763671551908
H2,cheb_d7,fixed_control,8.025825825825827,0.5226584397400089,-2.8033283075918636,40.48804100902646,1.6148552633361312e-09,0.11012455296473034,-0.49304046442509064,-0.17344435727619237
H2,cheb_d7,fixed_control,9.7,0.27503730659774533,-2.279018036203073,10.932960053185525,0.00422608170287401,0.10000512270618762,-0.17890740950557976,-0.20889628729239051
H2,cheb_d7,linear_mass_2to50cycles,0.2779095043487077,0.9511232401790725,-3.108992280973116,109.5974091202446,1.5893699371184405e-24,0.14951988328563937,-0.9506178655191234,-0.031001480038916406
H2,cheb_d12,0.5:80:3000,28.519839946648883,0.2703595458243868,-1.6397988081373334,10.663103983527776,0.004836557886372863,-0.13034044943372752,-0.018640678852787734,-0.26971616397664405
H2,cheb_d12,3.1:80:1000,28.502402402402407,0.27034115769112327,-1.6915500967693373,10.664113711674986,0.004834116698342041,-0.1306549570809832,-0.03256543712217306,-0.2683725653766021
H2,cheb_d12,5:9:1001,7.772,0.14014325111085071,-0.17029735445146757,2.726533289963129,0.2558237252343011,-0.14078241576087241,0.13811599716974624,-0.023750834884812187
