folds,block,winner,name,family,degree,spline_smoothing_factor,a_failed,b_failed,failed,a_total_poisson_deviance,b_total_poisson_deviance,a_deviance_per_bin,b_deviance_per_bin,combined_validation_bins,combined_total_poisson_deviance,combined_deviance_per_bin
3,1,bernstein_d12,cheb_d5,chebyshev,5,1.0,,,,771.7396036772343,918.5703596528275,2.6889881661227677,3.200593587640514,574,1690.3099633300617,2.9447908768816404
3,1,bernstein_d12,cheb_d6,chebyshev,6,1.0,,,,730.9741397707853,838.0493478131102,2.5469482221978583,2.9200325707773875,574,1569.0234875838955,2.733490396487623
3,1,bernstein_d12,cheb_d7,chebyshev,7,1.0,,,,817.172537399802,894.9743338900626,2.8472910710794492,3.118377470000218,574,1712.1468712898645,2.9828342705398336
3,1,bernstein_d12,cheb_d8,chebyshev,8,1.0,,,,562.3748321329964,581.4443806287248,1.959494188616712,2.025938608462456,574,1143.8192127617212,1.9927163985395842
3,1,bernstein_d12,cheb_d9,chebyshev,9,1.0,,,,417.06807320666326,505.1934722448625,1.4531988613472588,1.7602560008531796,574,922.2615454515258,1.606727431100219
3,1,bernstein_d12,cheb_d10,chebyshev,10,1.0,,,,420.19785931008823,477.3437755526158,1.464104039407973,1.663218730148487,574,897.5416348627041,1.5636613847782301
3,1,bernstein_d12,cheb_d11,chebyshev,11,1.0,,,,387.93871721079336,474.66793860041605,1.351702847424367,1.6538952564474427,574,862.6066558112094,1.502799051935905
3,1,bernstein_d12,cheb_d12,chebyshev,12,1.0,,,,349.98457856582945,470.658967064297,1.2194584619018447,1.6399267145097456,574,820.6435456301265,1.4296925882057954
3,1,bernstein_d12,bernstein_d5,bernstein,5,1.0,,,,771.7396036772318,918.5703596528299,2.688988166122759,3.2005935876405225,574,1690.3099633300617,2.9447908768816404
3,1,bernstein_d12,bernstein_d7,bernstein,7,1.0,,,,817.1725373998003,894.9743338900564,2.8472910710794435,3.1183774700001967,574,1712.1468712898568,2.9828342705398203
