label,start,size,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
H2,0,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.824397092169061,12.521216062715572,0.946653482372715,-0.31691250020581746,121.52898505994085,-0.08552081491259954,0.9489608251939852,120.56233146720058,2.3822984852322148e-28,True
H2,1,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.8204695099021273,12.459743629999524,0.9370422323407902,-0.3085307100697341,118.86589783636146,-0.07713902477651619,0.9393781046866629,118.09457616878024,8.265725358575642e-28,True
H2,2,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.8176985278382158,12.445396695582035,0.9351890973409025,-0.30823589862484174,118.33408729808775,-0.07684421333162383,0.9375006269425062,117.57123576072127,1.0761470409139918e-27,True
H2,3,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.8162586939802172,12.44587945358142,0.9359024928627598,-0.3097670563383691,118.48254443526764,-0.07837537104515119,0.9381905694742364,117.68737641965083,1.0149416908702315e-27,True
H2,4,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.8209048370845036,12.464601040736452,0.9392878501689945,-0.3097278887780032,119.27824367368146,-0.07833620348478532,0.9415766000545873,118.47763533619195,6.814106757865175e-28,True
H2,5,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.8211626406679484,12.472265066490433,0.9418160058354703,-0.3086961332205771,119.83974860469914,-0.07730444792735919,0.9441177395673185,119.05538415208366,5.092289943014269e-28,True
H2,6,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.8206906616244147,12.46944375762066,0.9419954489131017,-0.30780439781603663,119.80869379375451,-0.07641271252281874,0.9443097146164912,119.04155767525288,5.127909094596348e-28,True
H2,7,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.821076197682422,12.467289361550964,0.9417223432982865,-0.3079298969577286,119.68538067209533,-0.07653821166451069,0.944048514952839,118.91576330102919,5.463640290770022e-28,True
H2,8,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.815259796888373,12.478451540294676,0.9459097335332993,-0.31511292964487725,120.83723604415445,-0.08372124435165935,0.9482020957954679,119.90808339584896,3.313042769918939e-28,True
H2,9,1,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",286,277,1.819521680161252,12.478945894311872,0.9451396461303532,-0.312435931662103,120.54643129359931,-0.08104424636888508,0.9474866397323495,119.67666878123623,3.7229812091006624e-28,True
