label,model,amplitude,q,naive_p,naive_se,deviance,residual_rms,lag1,edf,fit_bins,converged
H1,cheb_d5,0.7853790576636117,82.63985463058826,4.922591892392616e-20,0.08639419139877527,505.68842374802375,1.3049808171967738,0.4374901969505182,adaptive/unreported,283,
H1,cheb_d6,0.7951788126965991,84.7150382606872,1.723096502647528e-20,0.08639419139877527,462.16458371430633,1.2505521370741406,0.39030819327269267,adaptive/unreported,285,
H1,cheb_d7,0.7512268380634078,75.60893164173457,1.7289691294102964e-18,0.08639419139877527,465.83609870930997,1.2862565596269093,0.4087158864250316,adaptive/unreported,282,
H1,cheb_d8,0.4792883028557337,30.77687861397269,1.4473319631999071e-08,0.08639419139877527,364.3360102183701,1.1099593748868561,0.23108062261186757,adaptive/unreported,286,
H1,cheb_d9,0.3671286176466297,18.057906067942287,1.071434719785558e-05,0.08639419139877527,317.33200873190924,1.0356521360172806,0.10645541681635493,adaptive/unreported,287,
H1,cheb_d10,0.3598007289689379,17.34422861470874,1.559219255912341e-05,0.08639419139877527,315.939873104507,1.0345605698825693,0.0993751712566725,adaptive/unreported,287,
H1,cheb_d11,0.24420885443839713,7.990127772666896,0.002351654787639356,0.08639419139877527,308.1709028782088,1.0175587239809438,0.08101991172751928,adaptive/unreported,287,
H1,cheb_d12,0.017076341309963477,0.039067944736409926,0.4216570588021812,0.08639419139877527,275.95770517773855,0.9604457031967422,0.0017452786169704615,adaptive/unreported,287,
H1,bernstein_d5,0.785379057663612,82.63985463058832,4.9225918923925796e-20,0.08639419139877527,505.6884237480258,1.3049808171967747,0.43749019695051816,adaptive/unreported,283,
H1,bernstein_d7,0.7512268380634137,75.60893164173575,1.7289691294092643e-18,0.08639419139877527,465.83609870931093,1.286256559626909,0.4087158864250319,adaptive/unreported,282,
H1,bernstein_d9,0.3671286176466196,18.057906067941293,1.0714347197861159e-05,0.08639419139877527,317.3320087319099,1.0356521360172812,0.1064554168163572,adaptive/unreported,287,
H1,bernstein_d12,0.01707634130995689,0.03906794473637978,0.42165705880221105,0.08639419139877527,275.95770517774884,0.9604457031967544,0.0017452786169657758,adaptive/unreported,287,
H1,spline_s0.5,0.007821270657950255,0.008195690353100053,0.4639330068928189,0.08639419139877527,157.15200315603136,0.726878963365911,-0.4693720986121526,adaptive/unreported,287,
H1,spline_s1,0.35574221831234315,16.955153631258693,1.9136639905082218e-05,0.08639419139877527,318.0569271389759,1.0289656805989342,0.1145824017137602,adaptive/unreported,287,
H1,spline_s2,0.8074936713239935,87.35930415048529,4.524671828093032e-21,0.08639419139877527,588.2991570436243,1.4277290643812848,0.5257874723232706,adaptive/unreported,283,
H1,cheb_d2,0.8997669142802383,108.4653321490519,1.062677113417442e-25,0.08639419139877527,2338.1637630243376,2.5824275924552285,0.86151900377459,adaptive/unreported,221,
H1,cheb_d3,0.8074936713239973,87.35930415048611,4.5246718280910825e-21,0.08639419139877527,588.2991570436182,1.4277290643812817,0.5257874723232703,adaptive/unreported,283,
H1,cheb_d14,0.04332336570489435,0.25146369280418485,0.30802316345739766,0.08639419139877527,269.4142460913265,0.949785591342046,-0.020388114672153484,adaptive/unreported,287,
H1,cheb_d16,0.00831779768992061,0.009269314497649029,0.46165017789388035,0.08639419139877527,263.75340413569546,0.9393213948186345,-0.030383528369922082,adaptive/unreported,287,
H1,cheb_d20,0.018076072550699474,0.04377630111956788,0.41713517881264467,0.08639419139877527,254.3137261149028,0.9204201390219191,-0.07166591950570916,adaptive/unreported,287,
H1,spline_s0.25,0.008834619985672273,0.010456989172532275,0.45927538189914585,0.08639419139877527,80.43321343011145,0.5199702610535221,-0.5535092676667731,adaptive/unreported,287,
H1,spline_s1.5,0.7867241530159721,82.92316667516785,4.265276538349295e-20,0.08639419139877527,531.3704214177574,1.3563654348186411,0.4744238758270751,adaptive/unreported,284,
H1,spline_s3.0,0.8074936713239935,87.35930415048529,4.524671828093032e-21,0.08639419139877527,588.2991570436243,1.4277290643812848,0.5257874723232706,adaptive/unreported,283,
H1,spline_s4.0,0.8074936713239935,87.35930415048529,4.524671828093032e-21,0.08639419139877527,588.2991570436243,1.4277290643812848,0.5257874723232706,adaptive/unreported,283,
H1,pois_poly2,1.2186055273457752,198.9560723708695,1.7644655625202648e-45,0.08639419139877527,1977.584729117292,2.631578370281597,,3.000000000000001,,True
H1,pois_poly3,0.8547117995202366,97.87466996693557,2.2285948703591104e-23,0.08639419139877527,575.1786047555308,1.4309456502886966,,4.0,,True
H1,pois_poly5,0.8037997232763411,86.56186726259251,6.7716766724167365e-21,0.08639419139877527,489.73648209471423,1.3124069795928675,,6.0,,True
H1,pois_poly7,0.7967201603023674,85.0437740637369,1.4591611643487638e-20,0.08639419139877527,441.31045442128215,1.2434901902461226,,7.999999999999999,,True
H1,pois_poly9,0.3408504173779811,15.565338573969136,3.9851193643579214e-05,0.08639419139877527,306.24773921699034,1.0379518770361085,,10.0,,True
H1,pois_poly12,0.004670275340198734,0.0029222400098327123,0.4784445780053997,0.08639419139877527,266.8370869261882,0.95982263225198,,12.999999999999995,,True
H1,pois_poly16,-0.008750596249015915,0.0,1.0,0.08639419139877527,255.00539788191296,0.9382558072708828,,17.000000000000007,,True
H1,pois_poly20,-0.0013995241088813094,0.0,1.0,0.08639419139877527,245.25282679554033,0.9196013044263979,,21.00000000000001,,True
H1,pspline_8_0.1,0.14518325822971995,2.823995425745435,0.04643249035399038,0.08639419139877527,283.1946094701591,0.9963122681488777,,11.884765015391825,,True
H1,pspline_8_1,0.24464059012180173,8.01840416394461,0.002315217695011973,0.08639419139877527,289.57311020373913,1.0028285651078113,,11.150240578482062,,True
H1,pspline_8_10,0.515455071958684,35.596930135134706,1.213348330490478e-09,0.08639419139877527,344.50849099091664,1.0916121041109323,,9.070690844476351,,True
H1,pspline_8_100,0.7611052194802662,77.61046973734892,6.275154973487286e-19,0.08639419139877527,455.16250124658717,1.2578904907026227,,6.533470461126829,,True
H1,pspline_16_0.1,0.004576258163851593,0.002805769208659539,0.47887809972186035,0.08639419139877527,244.70337127936395,0.9190350952360397,,19.614404438077223,,True
H1,pspline_16_1,0.022770453479125475,0.06946631656024264,0.39605770636138676,0.08639419139877527,254.72685947648182,0.939022557664421,,17.77617582517665,,True
H1,pspline_16_10,0.1390194907314341,2.589299562745515,0.053793952330499176,0.08639419139877527,279.77701777071394,0.9831248005204776,,13.853586072434474,,True
