mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
2.775122098077637212e+00,2.807776454737657801e+00,2.791401527191055720e+00,6.400000000000000000e+01,6.784163052277757799e+01,-4.664095718933521928e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.807776454737657801e+00,2.840815049269453496e+00,2.824247440930622854e+00,5.800000000000000000e+01,6.599824366518200236e+01,-9.845288377646266298e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.840815049269453496e+00,2.874242402930129447e+00,2.857479846559255687e+00,7.800000000000000000e+01,6.417051849361736515e+01,1.726386867475260711e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.874242402930129447e+00,2.908063090177603005e+00,2.891103291856673252e+00,8.000000000000000000e+01,6.236434852984256594e+01,2.233177853954402714e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.908063090177603005e+00,2.942281739296602971e+00,2.925122378115488697e+00,8.300000000000000000e+01,6.058489063531320085e+01,2.879775933956652434e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.942281739296602971e+00,2.976903033032043400e+00,2.959541760770888708e+00,8.800000000000000000e+01,5.883660948616608266e+01,3.802018224338395314e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.976903033032043400e+00,3.011931709229845211e+00,2.994366150037718999e+00,1.670000000000000000e+02,5.712332401619993050e+01,1.453780291587719553e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.011931709229845211e+00,3.047372561485299780e+00,3.029600311555065595e+00,3.570000000000000000e+02,5.544825483175456782e+01,4.049653872861907900e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.047372561485299780e+00,3.083230439799062861e+00,3.065249067038422037e+00,9.970000000000000000e+02,5.381407175614712202e+01,1.285728841099974034e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.083230439799062861e+00,3.119510251240863674e+00,3.101317294939531344e+00,1.371000000000000000e+03,5.222294080424666163e+01,1.824906934920236665e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.119510251240863674e+00,3.156216960621028633e+00,3.137809931113989315e+00,5.610000000000000000e+02,5.067657001852284537e+01,7.168724689146336004e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.156216960621028633e+00,3.193355591169904972e+00,3.174731969496707773e+00,1.600000000000000000e+02,4.917625371578525062e+01,1.580356643868749522e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193355591169904972e+00,3.230931225225274428e+00,3.212088462785320342e+00,6.100000000000000000e+01,4.772291479863483943e+01,1.921937503800527747e+00,0.000000000000000000e+00,0.000000000000000000e+00
