omega,delta_chi2
3.100000000000000089e+00,3.243500042157101859e+01
3.176976976976976896e+00,3.208174799615073880e+01
3.253953953953954148e+00,3.080743867212128606e+01
3.330930930930930955e+00,2.874896426079899214e+01
3.407907907907908207e+00,2.612543306007833266e+01
3.484884884884885015e+00,2.320148280406633390e+01
3.561861861861862266e+00,2.025019804028089965e+01
3.638838838838839074e+00,1.752757893245541254e+01
3.715815815815815881e+00,1.526168472836922518e+01
3.792792792792793133e+00,1.365119621369884761e+01
3.869769769769769940e+00,1.286480464520542100e+01
3.946746746746747192e+00,1.303534791523341596e+01
4.023723723723724000e+00,1.424887620176511405e+01
4.100700700700700807e+00,1.653483094036738876e+01
4.177677677677677615e+00,1.986496882695940513e+01
4.254654654654654422e+00,2.416418208098153286e+01
4.331631631631632118e+00,2.932942419135762080e+01
4.408608608608608925e+00,3.524898898629239596e+01
4.485585585585585733e+00,4.181574585385052956e+01
4.562562562562562540e+00,4.893246956862508057e+01
4.639539539539539348e+00,5.651148409898468117e+01
4.716516516516517044e+00,6.447224155569614368e+01
4.793493493493493851e+00,7.273888480234127485e+01
4.870470470470470659e+00,8.123643216774715370e+01
4.947447447447448354e+00,8.988125459573791431e+01
5.024424424424424274e+00,9.856151728727260775e+01
5.101401401401401969e+00,1.071070737950597476e+02
5.178378378378378777e+00,1.152542003913197561e+02
5.255355355355355584e+00,1.226160747692808428e+02
5.332332332332333280e+00,1.286739971174465609e+02
5.409309309309309199e+00,1.328065038964052746e+02
5.486286286286286895e+00,1.343707772911125744e+02
5.563263263263263703e+00,1.328373919206232472e+02
5.640240240240240510e+00,1.279528277664521454e+02
5.717217217217218206e+00,1.198742692866976967e+02
5.794194194194194125e+00,1.092120444273314774e+02
5.871171171171171821e+00,9.694617762805374639e+01
5.948148148148148628e+00,8.424316280088534370e+01
6.025125125125125436e+00,7.224542275190395912e+01
6.102102102102103132e+00,6.190630130297713407e+01
6.179079079079079051e+00,5.390563380720307407e+01
6.256056056056056747e+00,4.863907674510956269e+01
6.333033033033033554e+00,4.625330857707002252e+01
6.410010010010010362e+00,4.669989697769675274e+01
6.486986986986988057e+00,4.979066982810165598e+01
6.563963963963963977e+00,5.524583704742794055e+01
6.640940940940941672e+00,6.272949891313302828e+01
6.717917917917918480e+00,7.186820834500650790e+01
6.794894894894895288e+00,8.225096374007321742e+01
6.871871871871872983e+00,9.341483392856017076e+01
6.948848848848848903e+00,1.048273089070198694e+02
7.025825825825826598e+00,1.158807441723837428e+02
7.102802802802804294e+00,1.259128673949768427e+02
7.179779779779780213e+00,1.342591593932360183e+02
7.256756756756757909e+00,1.403298262648256127e+02
7.333733733733733828e+00,1.436912830932477902e+02
7.410710710710711524e+00,1.441265874340616620e+02
7.487687687687689220e+00,1.416553917759057981e+02
7.564664664664665139e+00,1.365092185663537805e+02
7.641641641641642835e+00,1.290738672585067093e+02
7.718618618618618754e+00,1.198194087953378784e+02
7.795595595595596450e+00,1.092370177640143396e+02
7.872572572572574146e+00,9.779418542264680525e+01
7.949549549549550065e+00,8.591097719401503241e+01
8.026526526526527761e+00,7.395363396753391783e+01
8.103503503503503680e+00,6.223899165097086694e+01
8.180480480480481376e+00,5.104316063465916642e+01
8.257457457457459071e+00,4.060936829216796440e+01
8.334434434434434991e+00,3.115173118406192287e+01
8.411411411411412686e+00,2.285340637496876326e+01
8.488388388388388606e+00,1.585901499086260102e+01
8.565365365365366301e+00,1.026267141459322296e+01
8.642342342342343997e+00,6.094513750986764400e+00
8.719319319319319916e+00,3.309990177022085867e+00
8.796296296296297612e+00,1.786550590764805602e+00
8.873273273273273531e+00,1.331107605927983828e+00
8.950250250250251227e+00,1.698679956399435254e+00
9.027227227227228923e+00,2.619076911248642947e+00
9.104204204204204842e+00,3.825952573093923004e+00
9.181181181181182538e+00,5.082216097360293006e+00
9.258158158158158457e+00,6.197578324612866396e+00
9.335135135135136153e+00,7.036841077531997612e+00
9.412112112112113849e+00,7.520060135563054082e+00
9.489089089089089768e+00,7.617133891920591537e+00
9.566066066066067464e+00,7.339607342464017137e+00
9.643043043043043383e+00,6.731905353383700330e+00
9.720020020020021079e+00,5.863276120802039415e+00
9.796996996996998774e+00,4.820780753404289243e+00
9.873973973973974694e+00,3.702926855187104849e+00
9.950950950950952389e+00,2.613156188653430245e+00
1.002792792792792831e+01,1.652448714096573790e+00
1.010490490490490600e+01,9.108039887583252447e-01
1.018188188188188370e+01,4.581756627139653149e-01
1.025885885885885962e+01,3.362711650468199753e-01
1.033583583583583732e+01,5.530881399076468252e-01
1.041281281281281323e+01,1.081817368408553026e+00
1.048978978978979093e+01,1.864772770440675576e+00
1.056676676676676863e+01,2.821678354690011048e+00
1.064374374374374455e+01,3.860536175424160277e+00
1.072072072072072224e+01,4.888874891101142595e+00
1.079769769769769816e+01,5.823499040765709900e+00
1.087467467467467586e+01,6.597619641673365898e+00
1.095165165165165355e+01,7.165028655385746070e+00
1.102862862862862947e+01,7.501512402077351815e+00
1.110560560560560717e+01,7.603952070890346526e+00
1.118258258258258309e+01,7.487657920075458051e+00
1.125955955955956078e+01,7.182548540690278926e+00
1.133653653653653670e+01,6.728829749745974809e+00
1.141351351351351440e+01,6.172770839569293067e+00
1.149049049049049209e+01,5.562960868293856720e+00
1.156746746746746801e+01,4.947110737584024420e+00
1.164444444444444571e+01,4.369206073902415000e+00
1.172142142142142163e+01,3.866763880182614521e+00
1.179839839839839932e+01,3.468139115900235936e+00
1.187537537537537702e+01,3.190153935502720639e+00
1.195235235235235294e+01,3.036583382790031482e+00
1.202932932932933063e+01,2.998057053377968906e+00
1.210630630630630655e+01,3.053687828795796921e+00
1.218328328328328425e+01,3.174329300442034540e+00
1.226026026026026194e+01,3.326979061486400990e+00
1.233723723723723786e+01,3.479625339647042459e+00
1.241421421421421556e+01,3.605804834615828902e+00
1.249119119119119148e+01,3.688237361502319622e+00
1.256816816816816917e+01,3.721056713397711491e+00
1.264514514514514687e+01,3.710343868696715841e+00
1.272212212212212279e+01,3.672904558542756881e+00
1.279909909909910048e+01,3.633519600207547828e+00
1.287607607607607640e+01,3.621176965439311779e+00
1.295305305305305410e+01,3.664969726198239020e+00
1.303003003003003180e+01,3.790335639014876357e+00
1.310700700700700772e+01,4.016125190116170529e+00
1.318398398398398541e+01,4.352702372680340659e+00
1.326096096096096133e+01,4.801023087900380126e+00
1.333793793793793903e+01,5.352482715283958470e+00
1.341491491491491672e+01,5.989297874194551952e+00
1.349189189189189264e+01,6.685260420756002908e+00
1.356886886886887034e+01,7.406829672424191102e+00
1.364584584584584626e+01,8.114669726547232287e+00
1.372282282282282395e+01,8.765853363868183479e+00
1.379979979979980165e+01,9.316996290280119553e+00
1.387677677677677757e+01,9.728499831840696999e+00
1.395375375375375526e+01,9.969819541516876882e+00
1.403073073073073118e+01,1.002524225069088359e+01
1.410770770770770888e+01,9.899138549612578331e+00
1.418468468468468657e+01,9.619263224507548671e+00
1.426166166166166249e+01,9.236656595368193834e+00
1.433863863863864019e+01,8.821225933979036427e+00
1.441561561561561611e+01,8.453099350591610772e+00
1.449259259259259380e+01,8.211018873424359654e+00
1.456956956956957150e+01,8.159926054451213773e+00
1.464654654654654742e+01,8.340166995107177073e+00
1.472352352352352511e+01,8.760365656765848996e+00
1.480050050050050103e+01,9.395194462186276851e+00
1.487747747747747873e+01,1.018829161179301401e+01
1.495445445445445642e+01,1.105964501033616543e+01
1.503143143143143234e+01,1.191600660262951905e+01
1.510840840840841004e+01,1.266242394128527948e+01
1.518538538538538596e+01,1.321289867860532041e+01
1.526236236236236365e+01,1.349857717980044747e+01
1.533933933933934135e+01,1.347266960153288551e+01
1.541631631631631727e+01,1.311222580723295650e+01
1.549329329329329497e+01,1.241763576420605730e+01
1.557027027027027088e+01,1.141102053201944955e+01
1.564724724724724858e+01,1.013448944416374253e+01
1.572422422422422628e+01,8.648709667432541437e+00
1.580120120120120220e+01,7.031620915685074635e+00
1.587817817817817989e+01,5.376675106155370365e+00
1.595515515515515581e+01,3.789838290511233332e+00
1.603213213213213351e+01,2.384781531480277827e+00
1.610910910910911298e+01,1.276112790062400970e+00
1.618608608608608890e+01,5.709997231081568314e-01
1.626306306306306482e+01,3.599414566403651983e-01
1.634004004004004074e+01,7.076672310079372696e-01
1.641701701701702021e+01,1.645162835893369646e+00
1.649399399399399613e+01,3.163715166212136332e+00
1.657097097097097205e+01,5.211706563450412943e+00
1.664794794794795152e+01,7.694739714980462608e+00
1.672492492492492744e+01,1.047952683906622617e+01
1.680190190190190336e+01,1.340177305268097285e+01
1.687887887887888283e+01,1.627794062086720572e+01
1.695585585585585875e+01,1.892024898448530834e+01
1.703283283283283467e+01,2.115358456113888508e+01
1.710980980980981059e+01,2.283231948793843813e+01
1.718678678678679006e+01,2.385461233970597306e+01
